plate,S_target,alpha,gamma,p_critical,k_field_to_alt,interval_days
Plate3,0.9,0.1,0.0,0.1999959498643875,0.009337620845811837,179.9999999998363
Plate3,0.9,0.1,1.0,0.1999959498643875,0.009337620845811837,179.9999999998363
Plate3,0.9,0.1,2.0,0.1999959498643875,0.009337620845811837,179.9999999998363
Plate3,0.9,0.1,3.0,0.1999959498643875,0.009337620845811837,179.9999999998363
Plate3,0.9,0.05,0.0,0.1999959498643875,0.009337620845811837,176.64212333887917
Plate3,0.9,0.05,1.0,0.1999959498643875,0.009337620845811837,149.00812544930886
Plate3,0.9,0.05,2.0,0.1999959498643875,0.009337620845811837,128.89541349850333
Plate3,0.9,0.05,3.0,0.1999959498643875,0.009337620845811837,113.58957615695545
Plate3,0.9,0.02,0.0,0.1999959498643875,0.009337620845811837,74.09254936019352
Plate3,0.9,0.02,1.0,0.1999959498643875,0.009337620845811837,62.11283155356796
Plate3,0.9,0.02,2.0,0.1999959498643875,0.009337620845811837,53.47185666361838
Plate3,0.9,0.02,3.0,0.1999959498643875,0.009337620845811837,46.943474378877
Plate3,0.9,0.01,0.0,0.1999959498643875,0.009337620845811837,37.73245601914823
Plate3,0.9,0.01,1.0,0.1999959498643875,0.009337620845811837,31.544792339864216
Plate3,0.9,0.01,2.0,0.1999959498643875,0.009337620845811837,27.101192787940818
Plate3,0.9,0.01,3.0,0.1999959498643875,0.009337620845811837,23.755202884331084
