plate,S_target,alpha,gamma,p_critical,k_field_to_alt,interval_days
Plate3,0.9,0.1,0,0.200000316,0.009337603,180
Plate3,0.9,0.1,1,0.200000316,0.009337603,180
Plate3,0.9,0.1,2,0.200000316,0.009337603,180
Plate3,0.9,0.1,3,0.200000316,0.009337603,180
Plate3,0.9,0.05,0,0.200000316,0.009337603,176.6421233
Plate3,0.9,0.05,1,0.200000316,0.009337603,149.0076173
Plate3,0.9,0.05,2,0.200000316,0.009337603,128.8946546
Plate3,0.9,0.05,3,0.200000316,0.009337603,113.5886934
Plate3,0.9,0.02,0,0.200000316,0.009337603,74.09254936
Plate3,0.9,0.02,1,0.200000316,0.009337603,62.11261238
Plate3,0.9,0.02,2,0.200000316,0.009337603,53.47153194
Plate3,0.9,0.02,3,0.200000316,0.009337603,46.94309908
Plate3,0.9,0.01,0,0.200000316,0.009337603,37.73245602
Plate3,0.9,0.01,1,0.200000316,0.009337603,31.54467942
Plate3,0.9,0.01,2,0.200000316,0.009337603,27.10102611
Plate3,0.9,0.01,3,0.200000316,0.009337603,23.75501081
